CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY,CAPTION_ID,CAPTION_EN,Image_Path
Data 8 Batik Sukun (Batik Srikandi),Malang,Batik Srikandi,"FLORA (Daun pohon Sukun/Breadfruit Leaf, Buah pohon Sukun/Breadfruit) // CULTURE (Parang, Srikandi)","Hitam/Black, Hijau/Green",Tulis,Primisima,Sintetis,Non Geometris,"Srikandi adalah tokoh androgini dari wiracarita Mahabharata yang merupakan seorang permaisuri raja Drupada dari kerajaan Pancala, menggambarkan sosok perempuan yang kuat namun tetap dapat mempercantik diri. Pemilihan warna hitam karena supaya menyatu dengan tema flora yaitu alam.","Batik Srikandi merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hitam dan hijau, membentuk motif utama daun pohon sukun dan parang, srikandi. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Srikandi adalah tokoh androgini dari wiracarita Mahabharata yang merupakan seorang permaisuri raja Drupada dari kerajaan Pancala, menggambarkan sosok perempuan yang kuat namun tetap dapat mempercantik diri. Pemilihan warna hitam karena supaya menyatu dengan tema flora yaitu alam.","The batik fabric features the Malang motif, characterized by black, green motifs. The dominant motifs include breadfruit leaf, buah pohon sukun and machete, heroine. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Sukun (Batik Srikandi).jpg
Data 9 Batik Sukun (Batik Srikandi),Malang,Batik Srikandi,"FLORA (Daun pohon Sukun/Breadfruit Leaf, Buah pohon Sukun/Breadfruit), CULTURE (Parang, Srikandi)","Biru/Blue, Putih/White",Tulis,Primisima,Sintetis,Non Geometris,"Srikandi adalah tokoh androgini dari wiracarita Mahabharata yang merupakan seorang permaisuri raja Drupada dari kerajaan Pancala, menggambarkan sosok perempuan yang kuat namun tetap dapat mempercantik diri. Parang digunakan sebagai simbol dari merangkul masyarakat, seperti ketika wanita yang mendukung dan mendampingi suami.","Batik Srikandi merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah biru dan putih, membentuk motif utama daun pohon sukun. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Srikandi adalah tokoh androgini dari wiracarita Mahabharata yang merupakan seorang permaisuri raja Drupada dari kerajaan Pancala, menggambarkan sosok perempuan yang kuat namun tetap dapat mempercantik diri. Parang digunakan sebagai simbol dari merangkul masyarakat, seperti ketika wanita yang mendukung dan mendampingi suami.","The batik fabric features the Malang motif, characterized by blue, white motifs. The dominant motifs include breadfruit leaf, buah pohon sukun. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 9 Batik Sukun (Batik Srikandi).jpg
Data 1 Batik Lana (Daun Monstera),Malang,Daun Monstera,FLORA (Tumbuhan Monstera/Monstera Deliciosa) ,"Coklat/Brown, Coklat Muda/Bright Brown",Tulis,Primisima,Alam,Non Geometris,"Terinspirasi dari Gunung Arjuno yang terletak di perbatasan Kota Batu, Kabupaten Malang, dan Kabupaten Pasuruan. Gunung Arjuno juga merupakan gunung tertinggi kedua di Jawa Timur setelah Gunung Semeru dengan ketinggian 3,339 m. Pewarna yang digunakan adalah pewarna alami yang berasal dari Secang (tumbuhan herbal yang tumbuh alami pada hutan-hutan sekunder), kulit bawang merah, kayu mahoni, dan kapur sebagai pengunci warna.","Daun Monstera merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah coklat dan coklat muda, membentuk motif utama tumbuhan monstera. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Primisima. Secara filosofis, Terinspirasi dari Gunung Arjuno yang terletak di perbatasan Kota Batu, Kabupaten Malang, dan Kabupaten Pasuruan. Gunung Arjuno juga merupakan gunung tertinggi kedua di Jawa Timur setelah Gunung Semeru dengan ketinggian 3,339 m. Pewarna yang digunakan adalah pewarna alami yang berasal dari Secang (tumbuhan herbal yang tumbuh alami pada hutan-hutan sekunder), kulit bawang merah, kayu mahoni, dan kapur sebagai pengunci warna.","The batik fabric features the Malang motif, characterized by brown, bright brown motifs. The dominant motifs include monstera deliciosa. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Lana (Daun Monstera).jpg
Data 2 Batik Lana (Pakis Tutul),Malang,Daun Monstera,FLORA (Tumbuhan Pakis/Fern Plants),Hijau tua/Dark Green,Tulis,Primisima,Alam,Non Geometris,Terinspirasi ketika mengunjungi Pujon (salah satu kecamatan yang ada di Kabupaten Malang) yang terdapat banyak tumbuhan pakis. Pewarna yang digunakan adalah pewarna alam yang berasal dari daun mangga dan daun jambu klutuk.,"Daun Monstera merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hijau tua, membentuk motif utama tumbuhan pakis. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Primisima. Secara filosofis, Terinspirasi ketika mengunjungi Pujon (salah satu kecamatan yang ada di Kabupaten Malang) yang terdapat banyak tumbuhan pakis. Pewarna yang digunakan adalah pewarna alam yang berasal dari daun mangga dan daun jambu klutuk.","The batik fabric features the Malang motif, characterized by dark green motifs. The dominant motifs include fern plants. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Lana (Pakis Tutul).jpg
Data 3 Batik Lana (Daun Monstera),Malang,Daun Monstera,FLORA (Tumbuhan Pakis/Fern Plants),botol/Dark GrHijau een,Tulis,Primisima,Sintetis,Non Geometris,Terinspirasi dari flora dan fauna yang terdapat di alam Gunung Bromo (gunung berapi aktif yang terdapat di Jawa Timur).,"Daun Monstera merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah botol, membentuk motif utama tumbuhan pakis. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Terinspirasi dari flora dan fauna yang terdapat di alam Gunung Bromo (gunung berapi aktif yang terdapat di Jawa Timur).","The batik fabric features the Malang motif, characterized by dark grhijau een motifs. The dominant motifs include fern plants. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 3 Batik Lana (Daun Monstera).jpg
Data 4 Batik Lana (Parang Anggrek),Malang,parang anggrek,FLORA (Bunga Anggrek/Orchid Flower),Biru/Blue,Tulis,Primisima,Alam,Geometris,"Terinspirasi dari Pantai Banyu Tibo yang terletak di Pacitan, Jawa Timur. Pewarna yang digunakan adalah pewarna alami yang berasal dari daun indigo.","parang anggrek merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah biru, membentuk motif utama bunga anggrek. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Primisima. Secara filosofis, Terinspirasi dari Pantai Banyu Tibo yang terletak di Pacitan, Jawa Timur. Pewarna yang digunakan adalah pewarna alami yang berasal dari daun indigo.","The batik fabric features the Malang motif, characterized by blue motifs. The dominant motifs include orchid flower. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Lana (Parang Anggrek).jpg
Data 5 Batik Lana (Jumputan),Malang,Jumputan 1,FLORA,Ungu/ Purple,Tulis,Katun,Alam,Geometris,Melestarikan budaya stagen yaitu kain panjang yang menjadi pelengkap pakaian tradisional Jawa dan berfungsi sebagai pengunci kain. Pewarna yang digunakan adalah pewarna alami dengan menggunakan Secang dan kulit bawang merah.,"Jumputan 1 merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah ungu, membentuk motif utama . Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Melestarikan budaya stagen yaitu kain panjang yang menjadi pelengkap pakaian tradisional Jawa dan berfungsi sebagai pengunci kain. Pewarna yang digunakan adalah pewarna alami dengan menggunakan Secang dan kulit bawang merah.","The batik fabric features the Malang motif, characterized by purple motifs. The dominant motifs include . The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Lana (Jumputan).jpg
Data 6 Batik Lana (Jumputan),Malang,Jumputan 2,FLORA,Hijau tletong/Pickle,Tulis,Katun,Sintetis,Geometris,Melestarikan budaya stagen yaitu kain panjang yang menjadi pelengkap pakaian tradisional Jawa dan berfungsi sebagai pengunci kain.,"Jumputan 2 merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah hijau tletong, membentuk motif utama . Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Melestarikan budaya stagen yaitu kain panjang yang menjadi pelengkap pakaian tradisional Jawa dan berfungsi sebagai pengunci kain.","The batik fabric features the Malang motif, characterized by pickle motifs. The dominant motifs include . The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 6 Batik Lana (Jumputan).jpg
Data 7 Batik Lana (Parang Anggrek),Malang,Parang Anggrek,FLORA (Bunga Anggrek/Orchid Flower),Coklat/Brown,Tulis,Katun,Alam,Geometris,"Terinspirasi dari pantai banyu tibo yang terletak di Pacitan, Jawa Timur. Pewarna yang digunakan adalah pewarna alami yang berasal dari kulit kayu mahoni dan manggis.","Parang Anggrek merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah coklat, membentuk motif utama bunga anggrek. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Terinspirasi dari pantai banyu tibo yang terletak di Pacitan, Jawa Timur. Pewarna yang digunakan adalah pewarna alami yang berasal dari kulit kayu mahoni dan manggis.","The batik fabric features the Malang motif, characterized by brown motifs. The dominant motifs include orchid flower. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 7 Batik Lana (Parang Anggrek).jpg
Data 8 Batik Lana (Kombinasi Ecoprint dan Batik Tulis),Malang,Kombinasi Ecoprint,"FLORA (Daun Jati/Teak Leaf, Daun Lanang/Lanang Leaf)",Coklat/Brown,Tulis,Katun,Alam,Non Geometris,Memanfaatkan daun jati dan daun lanang yang terdapat di hutan. Pewarna yang digunakan adalah pewarna alami yang berasal dari kulit kayu tingi dan jolawe.,"Kombinasi Ecoprint merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah coklat, membentuk motif utama daun jati. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Memanfaatkan daun jati dan daun lanang yang terdapat di hutan. Pewarna yang digunakan adalah pewarna alami yang berasal dari kulit kayu tingi dan jolawe.","The batik fabric features the Malang motif, characterized by brown motifs. The dominant motifs include teak leaf, daun lanang. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Lana (Kombinasi Ecoprint dan Batik Tulis).jpg
Data 9 Batik Lana (Bunga Wijaya Kusuma),Malang,Bunga wijaya kusuma,FLORA (Bunga Wijaya Kusuma/Wijaya Kusuma Flower),Merah/Red,Tulis,Katun,Sintetis,Non Geometris,Terinspirasi dari candi Singosari yang merupakan candi peninggalan kerajaan Majapahit. Motif kawung yang terdapat dalam batik ini terinspirasi dari kawung yang dipakai oleh putri Ken Dedes.,"Bunga wijaya kusuma merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah merah, membentuk motif utama bunga wijaya kusuma. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Terinspirasi dari candi Singosari yang merupakan candi peninggalan kerajaan Majapahit. Motif kawung yang terdapat dalam batik ini terinspirasi dari kawung yang dipakai oleh putri Ken Dedes.","The batik fabric features the Malang motif, characterized by red motifs. The dominant motifs include wijaya kusuma flower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 9 Batik Lana (Bunga Wijaya Kusuma).jpg
Data 10 Batik Lana (Bunga Matahari),Malang,Bunga Matahari,FLORA (Bunga Matahari/Sunflower),Hijau/Green,Tulis,Prisma,Sintetis,Non Geometris,Terinspirasi dari salah satu tempat wisata yang terdapat di Kota Batu yaitu ladang bunga matahari.,"Bunga Matahari merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hijau, membentuk motif utama bunga matahari. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Prisma. Secara filosofis, Terinspirasi dari salah satu tempat wisata yang terdapat di Kota Batu yaitu ladang bunga matahari.","The batik fabric features the Malang motif, characterized by green motifs. The dominant motifs include sunflower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 10 Batik Lana (Bunga Matahari).jpg
Data 11 Batik Lana (Bunga Wijaya Kusuma),Malang,Bunga wijaya kusuma,FLORA (Bunga Wijaya Kusuma/Wijaya Kusuma Flower),Hijau ketepeng,Tulis,Katun,Alam,Non Geometris,Bunga wijaya kusuma merupakan bunga yang disukai oleh Ken Dedes dan dipercaya dapat membawa keberuntungan. Pewarna yang digunakan adalah pewarna alami yang berasal dari daun mangga.,"Bunga wijaya kusuma merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hijau ketepeng, membentuk motif utama bunga wijaya kusuma. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Bunga wijaya kusuma merupakan bunga yang disukai oleh Ken Dedes dan dipercaya dapat membawa keberuntungan. Pewarna yang digunakan adalah pewarna alami yang berasal dari daun mangga.","The batik fabric features the Malang motif, characterized by kepeng green motifs. The dominant motifs include wijaya kusuma flower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 11 Batik Lana (Bunga Wijaya Kusuma).jpg
Data 12 Batik Lana (Daun Pakis),Malang,Daun Pakis,FLORA (Tumbuhan Pakis/Fern Plants),"Hitam/Black, ungu/Purple",Tulis,Kencana,Sintetis,Non Geometris,Terinspirasi ketika mengunjungi Pujon (salah satu kecamatan yang ada di Kabupaten Malang) yang terdapat banyak tumbuhan pakis.,"Daun Pakis merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hitam dan ungu, membentuk motif utama tumbuhan pakis. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Kencana. Secara filosofis, Terinspirasi ketika mengunjungi Pujon (salah satu kecamatan yang ada di Kabupaten Malang) yang terdapat banyak tumbuhan pakis.","The batik fabric features the Malang motif, characterized by black, purple motifs. The dominant motifs include fern plants. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 12 Batik Lana (Daun Pakis).jpg
Data 13 Batik Lana (Alam parang daun teh biru),Malang,Alam parang daun teh biru,FLORA(Daun teh/ Teh leaf) // CLASSIC (Motif Parang),Biru/Blue,Tulis,Katun Primisima,Alam,Geometris,Terinspirasi dari daun teh yang dihasilkan dari kebun teh Wonosari yang letaknya tepat di lereng Gunung Arjuno.,"Alam parang daun teh biru merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah biru, membentuk motif utama aun teh dan motif parang. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun Primisima. Secara filosofis, Terinspirasi dari daun teh yang dihasilkan dari kebun teh Wonosari yang letaknya tepat di lereng Gunung Arjuno.","The batik fabric features the Malang motif, characterized by blue motifs. The dominant motifs include teh leaf and machete motif. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Lana (Alam parang daun teh biru).jpg
"Data 14 Batik Lana (Bambu, Ikan dan Topeng)",Malang,"Bambu, ikan dan topeng",FLORA (Pohon Bambu/Bamboo Tree) // FAUNA (Ikan Koi/Koi Fish) // CULTURE (Topeng/Mask),Hijau/Green,cap dan tulis,Katun Primisima,Sintetis,Non Geometris,"Terinspirasi dari sumber mata air polaman, Kecamatan Lawang yang dipercaya airnya bersumber langsung dari Gunung Arjuno.","Bambu, ikan dan topeng merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hijau, membentuk motif utama pohon bambu, ikan koi dan topeng. Dibuat dengan teknik cap dan tulis menggunakan pewarna sintetis pada kain Katun Primisima. Secara filosofis, Terinspirasi dari sumber mata air polaman, Kecamatan Lawang yang dipercaya airnya bersumber langsung dari Gunung Arjuno.","The batik fabric features the Malang motif, characterized by green motifs. The dominant motifs include bamboo tree, koi fish and mask. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 14 Batik Lana (Bambu, Ikan dan Topeng).jpg"
Data 15 Batik Lana (Candi Padma),Malang,Candi Padma,FLORA (Bunga Padma/Rafflesia Arnoldii) // CULTURE (Candi/Temple) ,"Hitam/Black, hijau/Green",Cap dan tulis,Katun,Sintetis,Non Geometris,Motif batik terinspirasi dari Candi Singosari dan bunga Padma yang merupakan ikon dari Kota Malang (tahun 2000an),"Candi Padma merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hitam dan hijau, membentuk motif utama bunga padma dan candi. Dibuat dengan teknik cap dan tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Motif batik terinspirasi dari Candi Singosari dan bunga Padma yang merupakan ikon dari Kota Malang (tahun 2000an)","The batik fabric features the Malang motif, characterized by black, green motifs. The dominant motifs include rafflesia arnoldii and temple. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Lana (Candi Padma).jpg
Data 16 Batik Lana (Daun teh dan embun),Malang,Batik Lukis daun teh dan embun,FLORA (Daun teh/Teh leaf),Hijau/Green,Lukis,Katun,Sintetis,Non Geometris,Terinspirasi dari daun teh yang berasal dari kebun teh Wonosari dan bola-bola embun di pagi hari.,"Batik Lukis daun teh dan embun merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hijau, membentuk motif utama daun teh. Dibuat dengan teknik lukis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Terinspirasi dari daun teh yang berasal dari kebun teh Wonosari dan bola-bola embun di pagi hari.","The batik fabric features the Malang motif, characterized by green motifs. The dominant motifs include teh leaf. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 16 Batik Lana (Daun teh dan embun).jpg
Data 1 Batik Wagastu (Sayap Sulur Kopi),Malang,Sayap Sulur Kopi,"FLORA (Tumbuhan Kopi/Coffee Plant, Sulur/Tendril) // FAUNA (Sayap burung/Bird wings)","Coklat, hijau",Tulis,Primisima,Sintetis,Non-Geometris,"Batik dengan tema Sayap Sulur Kopi mencerminkan filosofi kebebasan dan ketahanan, terinspirasi dari daun kopi yang menjalar serta sayap yang melambangkan harapan. Motif ini berkembang dari tradisi batik pesisir dan pedalaman, mencerminkan kekayaan budaya Nusantara serta kejayaan kopi sebagai komoditas penting sejak era kolonial.","Sayap Sulur Kopi merupakan mahakarya kelas Batik Malang dengan tata letak non-geometris. Warna yang digunakan adalah coklat dan hijau, membentuk motif utama tumbuhan kopi dan sayap burung. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Batik dengan tema Sayap Sulur Kopi mencerminkan filosofi kebebasan dan ketahanan, terinspirasi dari daun kopi yang menjalar serta sayap yang melambangkan harapan. Motif ini berkembang dari tradisi batik pesisir dan pedalaman, mencerminkan kekayaan budaya Nusantara serta kejayaan kopi sebagai komoditas penting sejak era kolonial.","The batik fabric features the Malang motif, characterized by chocolate, green motifs. The dominant motifs include coffee plant, sulur and bird wings. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Wagastu (Sayap Sulur Kopi).jpg
Data 2 Batik Wagastu (Kupu-kupu Musim Semi),Malang,Kupu-kupu Musim Semi,FLORA (Tumbuhan Monstera/Monstera Deliciosa) // FAUNA (Kupu-kupu/Butterfly),"Brick Red, tosca",Tulis,Primisima,Sintetis,Non-Geometris,"Batik Kupu-kupu Musim Semi melambangkan keindahan, transformasi, dan kehidupan baru. Terinspirasi dari kupu-kupu yang bermekaran saat musim buah di Malang, motif ini mencerminkan harapan dan kebangkitan.","Kupu-kupu Musim Semi merupakan mahakarya kelas Batik Malang dengan tata letak non-geometris. Warna yang digunakan adalah brick red dan tosca, membentuk motif utama tumbuhan monstera dan kupu-kupu. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Batik Kupu-kupu Musim Semi melambangkan keindahan, transformasi, dan kehidupan baru. Terinspirasi dari kupu-kupu yang bermekaran saat musim buah di Malang, motif ini mencerminkan harapan dan kebangkitan.","The batik fabric features the Malang motif, characterized by brick red, turquoise motifs. The dominant motifs include monstera deliciosa and butterfly. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Wagastu (Kupu-kupu Musim Semi).jpg
Data 3 Batik Wagastu (Gelombang Cinta),Malang,Gelombang Cinta,FLORA (Tanaman gelombang cinta/Love wave plant),"Coklat, merah",Tulis,Primisima,Sintetis,Geometris,"Batik Gelombang Cinta terinspirasi dari keindahan ombak di pantai sendiri kabupaten Malang yang melambangkan kekuatan dan ketulusan cinta. Motif ini berkembang dari perpaduan gaya batik pesisir yang dinamis dan batik klasik yang penuh filosofi. Dengan pola beriak yang harmonis, batik ini merepresentasikan perjalanan cinta yang abadi dan penuh makna.","Gelombang Cinta merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah coklat dan merah, membentuk motif utama tanaman gelombang cinta. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Batik Gelombang Cinta terinspirasi dari keindahan ombak di pantai sendiri kabupaten Malang yang melambangkan kekuatan dan ketulusan cinta. Motif ini berkembang dari perpaduan gaya batik pesisir yang dinamis dan batik klasik yang penuh filosofi. Dengan pola beriak yang harmonis, batik ini merepresentasikan perjalanan cinta yang abadi dan penuh makna.","The batik fabric features the Malang motif, characterized by chocolate, red motifs. The dominant motifs include love wave plant. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 3 Batik Wagastu (Gelombang Cinta).jpg
Data 4 Batik Wagastu (Kawung Daur Rambat),Malang,Kawung Daur Rambat,FLORA (Tanaman English Ivy/Ivy),"Brick Red, kuning",Tulis,Primisima,Sintetis,Geometris,"Batik Kawung Daur Rambat menggabungkan motif kawung klasik dengan tanaman merambat yang berada di halaman rumah batik wagastu melambangkan kesinambungan hidup. Terinspirasi dari keseimbangan dan ketahanan, motif ini berkembang sebagai simbol kebijaksanaan dan siklus kehidupan yang terus berlanjut dalam harmoni dan keberlanjutan","Kawung Daur Rambat merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah brick red dan kuning, membentuk motif utama tanaman english ivy. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Batik Kawung Daur Rambat menggabungkan motif kawung klasik dengan tanaman merambat yang berada di halaman rumah batik wagastu melambangkan kesinambungan hidup. Terinspirasi dari keseimbangan dan ketahanan, motif ini berkembang sebagai simbol kebijaksanaan dan siklus kehidupan yang terus berlanjut dalam harmoni dan keberlanjutan","The batik fabric features the Malang motif, characterized by brick red, yellow motifs. The dominant motifs include ivy. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Wagastu (Kawung Daur Rambat).jpg
Data 5 Batik Wagastu (Sesuluran),Malang,Sesuluran,"FLORA (Tanaman gelombang cinta/Love wave plant, Purple Mallow Flower)","Coklat, pink",Tulis,Primisima,Sintetis,Non-Geometris,"Batik Sesuluran mencerminkan kebersamaan dan ikatan persaudaraan yang kuat antara komunitas batik di Malang Raya. Terinspirasi dari sulur tanaman yang saling terhubung, motif ini melambangkan harmoni, gotong royong, dan kekuatan dalam kebersamaan yang diwariskan secara turun-temurun.","Sesuluran merupakan mahakarya kelas Batik Malang dengan tata letak non-geometris. Warna yang digunakan adalah coklat dan pink, membentuk motif utama tanaman gelombang cinta. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Batik Sesuluran mencerminkan kebersamaan dan ikatan persaudaraan yang kuat antara komunitas batik di Malang Raya. Terinspirasi dari sulur tanaman yang saling terhubung, motif ini melambangkan harmoni, gotong royong, dan kekuatan dalam kebersamaan yang diwariskan secara turun-temurun.","The batik fabric features the Malang motif, characterized by chocolate, pink motifs. The dominant motifs include love wave plant, purple mallow flower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Wagastu (Sesuluran).jpg
Data 6 Batik Wagastu (Sulur Wiji Timun),Malang,Sulur Wiji Timun,FLORA (Tanaman timun/Cucumber plant),"Coklat, oren",Tulis,Primisima,Sintetis,Geometris,"Batik Sulur Wiji Timun terinspirasi dari sulur tanaman timun yang tumbuh dekat halaman rumah, melambangkan kesuburan, harapan, dan keberlanjutan hidup. Motif ini mencerminkan kedekatan dengan alam serta nilai ketekunan dan kesederhanaan.","Sulur Wiji Timun merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah coklat dan oren, membentuk motif utama tanaman timun. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Batik Sulur Wiji Timun terinspirasi dari sulur tanaman timun yang tumbuh dekat halaman rumah, melambangkan kesuburan, harapan, dan keberlanjutan hidup. Motif ini mencerminkan kedekatan dengan alam serta nilai ketekunan dan kesederhanaan.","The batik fabric features the Malang motif, characterized by chocolate, orange motifs. The dominant motifs include cucumber plant. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 6 Batik Wagastu (Sulur Wiji Timun).jpg
