CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY
Data 17 Batik Wagastu (Komposisi Topeng Panji dan Sekartaji Kasmaran),Malang,Komposisi Panji dan Sekartaji Kasmaran,"CULTURE (Topeng/Mask, Topeng Sekarjati/Sekarjati Mask, Topeng Malang/Malang Mask, Topeng Panji, Mask Panji) ","Biru navy, magenta",Tulis,Primisima,Sintetis,Geometris,"Pembuatan motif batik yang terinspirasi dari pementasan topeng sebagai bagian dari budaya Kota Malang. Topeng Malangan, dengan karakteristiknya yang kuat, ekspresif, dan penuh filosofi, menjadi sumber inspirasi utama dalam proses penciptaan motif batik ini."
Data 18 Batik Wagastu (Motif Liris),Malang,Motif Liris,CULTURE (Motif Liris/Liris Pattern) // NATURE (Air hujan/Rainwater),Brick red,Tulis,Primisima,Sintetis,Geometris,Proses pembuatan motif berawal dari suasana hujan dan gemericik yang menyelimuti di Kabupaten Malang
Data 19 Batik Wagastu (Nyanyian Burung Pipit),Malang,Nyanyian Burung Pipit,FAUNA (Burung pipit/Sparrow) ,"Kuning, hijau",Tulis,Primisima,Sintetis,Non-Geometris,Pembuatan motif batik terinspirasi dari suara burung pipit di belakang rumah batik Wagastu merupakan proses yang menggabungkan kepekaan terhadap alam dengan seni tradisional. Suara khas burung pipit yang merdu dan ritmis menjadi sumber inspirasi dalam menciptakan pola-pola burung yang cantik yang merepresentasikan harmoni alam.
Data 20 Batik Wagastu (Komposisi Liris dan Bunga),Malang,Komposisi Liris dan Bunga,FLORA (Purple Mallow Plants) // CULTURE (Motif Liris/Liris Pattern),"Coklat, oren",Tulis,Primisima,Sintetis,Non-Geometris,"Keindahan aneka bunga yang bermekaran di Taman Purwodadi yang bermekaran melambangkan kehidupan, keindahan, dan harmoni alam."
Data 21 Batik Wagastu (Parang Kopi),Malang,Parang Kopi,FLORA (Pohon kopi/Coffee Tree) // CULTURE (Motif parang/Parang Pattern),"Ungu,imperial red",Tulis,Primisima,Sintetis,Geometris,"Keindahan alam dan kejayaan kopi di desa Dampit yang dikenal sebagai pusat kopi di Malang. Motif ini menggambarkan hamparan kebun kopi, proses panen, dan semangat petani."
Data 22 Batik Wagastu (Panen Jeruk),Malang,Panen Jeruk,FLORA (Pohon jeruk/Orange Tree),"Coklat, oren",Tulis,Primisima,Sintetis,Non-Geometris,"Mengikuti panen jeruk di kebun jeruk Batu menjadi inspirasi dalam membuat motif, menggambarkan kemakmuran sumber daya alam di kota Batu"
Data 23 Batik Wagastu (Liris Kopi),Malang,Liris kopi,FLORA (Tanaman kopi/Coffee Plant) // CULTURE (Motif Liris/LirisPattern),"Brick red, kuning",Tulis,Primisima,Sintetis,Geometris,"Keindahan alam dan kejayaan kopi di desa Dampit yang dikenal sebagai pusat kopi di Malang. Motif ini menggambarkan hamparan kebun kopi, proses panen, dan semangat petani."
Data 24 Batik Wagastu (Sekar Setaman),Malang,Sekar Setaman,FLORA (Tanaman terompet/Trumpet Plant),"Hitam, putih",Cap,Primisima,Sintetis,Geometris,"Keindahan alam yang asri di kebun raya Purwodadi. Motif ini mencerminkan kekayaan flora, keseimbangan hidup, serta harmoni alam yang terus terjaga."
Data 1 Batik Kantil (Tambal),Malang,Tambal,Semua motif batik,"Biru/Blue, Putih/White",Tulis,Primisima,Alam,Geometris,"Memperbaiki (tambal) motif-motif yag kurang baik/rusak (Google), motif tambal asli dari lasem dengan warna coklat"
Data 2 Batik Kantil (Sekar Jagad),Malang,Sekar Jagad,"FLORA ( Cempaka Putih / White Champaka, Bunga sepatu/Hibiscus, Melati Klasik/Classic Jasmine, Apel/Apple) // CULTURE (Parang, truntum, kawung)","Ungu/Purple, Putih/White",Tulis,Primisima,Sintetis,Non Geometris,"Bu Camat Kota Batu memesan batik dengan kombinasi teknik Shibori dan motif Sekar Jagad saat sesi mengajar. Permintaan ini menggabungkan pola unik Shibori dengan keindahan tradisional Sekar Jagad, menciptakan karya batik yang khas dan eksklusif."
Data 3 Batik Kantil (Topeng Kantil),Malang,Topeng Kantil,CULTURE (Topeng Kantil/Kantil Mask),"Ungu tua/Dark Purple, Putih/White",Tulis,Primisima,Sintetis,Non Geometris,"Mengangkat kebudayaan khas Malang melalui Topeng Kantil sebagai objek utama. Dengan menonjolkan ciri khas bentuk, warna, dan maknanya, karya ini bertujuan melestarikan serta memperkenalkan keunikan Topeng Kantil dalam seni dan budaya lokal maupun global."
Data 4 Batik Kantil (Rama Sinta Kantil),Malang,Rama Sinta Kantil,CULTURE (Wayang Rama Sinta) // FLORA (Bunga kantil/Cempaka Putih/White Cempaka),"Ungu tua/Dark Purple, Oranye/Orange",Tulis,Primisima,Sintetis,Non Geometris,"Batik motif Rama Sinta terinspirasi dari filosofi kesetiaan dalam pewayangan Rama dan Sinta yang mencerminkan cinta sejati. Kesetiaan bukan sekadar janji, tetapi keteguhan hati, kepercayaan, dan ketulusan dalam menghadapi segala rintangan kehidupan."
Data 5 Batik Kantil (Mas-mas Mbois),Malang,Mas-mas Mbois,CULTURE (Manusia berpakaian adat jawa) // FLORA (Bunga kantil/Cempaka Putih/White Cempaka),"Coklat/Brown, Oranye/Orange",Tulis,Primisima,Sintetis,Non Geometris,"Motif manusia terinspirasi dari sosok laki-laki Jawa yang mengenakan baju tradisional, mencerminkan kearifan lokal dan identitas budaya. Sementara itu, motif flora berupa bunga kantil terinspirasi dari bunga kantil yang masih kuncup di halaman rumah. Motif ini melambangkan harapan akan masa depan yang cerah serta potensi yang terus berkembang, mencerminkan perjalanan menuju kematangan dan kesuksesan"
Data 6 Batik Kantil (Burung Perkutut),Malang,Burung Perkutut,"FAUNA (Perkutut/Turtledove) // FLORA ( Buah anggur/Grape Fruit, bunga anggrek/Orchid Flower, bunga kantil/Cempaka Putih/White Cempaka)","Hijau/Green, Pink",Tulis,Primisima,Alam,Non Geometris,"Suara burung perkutut setiap pagi hari di halaman rumah menjadi inspirasi batik ini. Suara burung yang lembut, merdu dan suasana pagi hari yang sejuk di kota Malang juga menjadi inspirasi dalam pemilihan warna pada batik ini."
Data 7 Batik Kantil (Penyu),Malang,Penyu,FAUNA (Penyu/Sea Turtle),"Biru/Blue, hijau/Green",Tulis,Primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari penyu ketika mengunjungi konservasi penyu yang ada pesisir Kabupaten Malang, Jawa Timur. Melihat proses pelestarian penyu dari telur penyu hingga pelepasan penyu ke habitat aslinya."
Data 8 Batik Kantil (Penyu Klasik),Malang,Penyu Klasik,FAUNA (Penyu/Sea Turtle),"Biru/Blue, Krem/Cream",Tulis,Primisima,Alam Indigo,Non Geometris,"Motif batik ini terinspirasi dari penyu ketika mengunjungi konservasi penyu yang ada pesisir Kabupaten Malang, Jawa Timur. Melihat proses pelestarian penyu dari telur penyu hingga pelepasan penyu ke habitat aslinya."
Data 9 Batik Kantil (Love Bird dan Kamboja),Malang,Love Bird & Kamboja,FAUNA (Burung love bird/Love Bird) // FLORA (Bunga Kamboja/Frangipani Flower),"Ungu muda/Bright Purple, Merah/Red",Tulis,Primisima,Sintetis,Non Geometris,"Burung Lovebird melambangkan kesetiaan dan keindahan, menjadi inspirasi motif batik, yang menggambarkan harmoni dalam hubungan serta keanggunan alam. Motif ini mencerminkan cinta sejati, kebersamaan, dan keharmonisan dalam kehidupan yang penuh makna."
Data 10 Batik Kantil (Merak Wolak-walik),Malang,Merak Wolak-walik,FLORA (Bunga krisan/Chrysanthemum Flower) // FAUNA (Burung merak/Peacock),"Coklat susu/Milk Chocolate, pink",Tulis,Katun sutra,Indigosol,Non Geometris,"Konsep dualisme batik ""Merak Tangguh"" menggambarkan dua sisi dalam satu kesatuan. Meski indah dan anggun, merak juga mencerminkan kesombongan. Motif ini melambangkan keseimbangan antara keindahan, ketangguhan, dan sifat manusia yang kompleks."
"Data 11 Batik Kantil (Kantil Klasik, Coklat)",Malang,Kantil Klasik,FLORA (Bunga kantil/Cempaka Putih/White Cempaka) ,"Coklat/Brown, Putih/White",Tulis,Primisima,Alam,Non Geometris,"Motif ini terinspirasi dari bunga kantil (Magnolia champaca), yang dalam budaya Jawa sering dikaitkan dengan kesucian, spiritualitas, dan kesetiaan. Dengan latar warna coklat dalam konteks budaya Jawa, coklat juga mencerminkan sifat kesederhanaan, keteguhan, serta hubungan erat dengan nilai-nilai tradisional dan spiritual."
Data 12 Batik Kantil (Keong),Malang,Keong,FLORA (Bunga kantil/Cempaka Putih/White Cempaka) // FAUNA (Keong/Snail) ,"Biru navy,/Navy Blue, Biru muda/Bright Blue",Tulis,Primisima,Sintetis,Non Geometris,"Karya ini terinspirasi dari keong yang ditemukan saat pelesir di Pantai Sendiki Kabupaten Malang. Motifnya melambangkan ketenangan, ketahanan, dan perjalanan hidup, mencerminkan harmoni antara alam dan manusia dalam setiap lekukan bentuknya yang unik."
Data 13 Batik Kantil (Buntel),Malang,Buntel,"FLORA (Bunga Melati/Jasmine Flower, Bunga kantil/Cempaka Putih/White Cempaka)","Coklat/Brown, HIjau/Green",Tulis,Primisima,Indigosol,Non Geometris,"Karya ini terinspirasi dari keindahan kebun bunga yang ditemui saat liburan di Kebun Kota Kebumen. Motifnya menggambarkan keharuman, keceriaan, dan keanekaragaman, mencerminkan harmoni alam serta kebahagiaan dalam setiap kelopak dan warna."
Data 14 Batik Kantil (Srikit Kantil),Malang,Srikit Kantil,"FLORA (Bunga krisan/Chrysanthemum Flower, Bunga matahari/Sunflower, Bunga mawar/Rose Flower) ","Coklat/Brown, HIjau/Green",Tulis,Primisima,Indigosol,Geometris,"Batik ini menampilkan komposisi pola yang kompleks dengan susunan diagonal yang berisi motif bunga dan dedaunan dalam berbagai warna, termasuk biru, ungu, jingga, dan hijau terinspirasi dari motif batik srikit Kabupaten Kebumen. Bentuk mengkerucut memiliki filosofi perjalanan menuju puncak tertinggi."
Data 15 Batik Kantil (Parang Mawar Kupu-kupu),Malang,Parang Mawar Kupu-kupu,FLORA (Bunga mawar/Rose Flower) // FAUNA (Kupu-kupu/Butterfly) // CULTURE (Motif Parang/Parang Pattern) ,"Hijau Muda/Bright Green, HIjau/Green",Tulis,Primisima,Sintetis,Geometris,"Karya ini terinspirasi dari kebun bunga dan kupu-kupu yang indah saat liburan di Wisata Selecta, Kota Batu. Motifnya melambangkan keindahan, keceriaan, dan transformasi hidup, menciptakan harmoni antara alam dan keanggunan makhluknya."
Data 16 Batik Kantil (Kembang Sepatu),Malang,Kembang Sepatu,FLORA (Bunga Sepatu/Hibiscus),"Pink fuchia, Biru/Blue",Tulis,Primisima,Sintetis,Non Geometris,"Batik motif Bunga Sepatu terinspirasi dari keindahan bunga sepatu (Hibiscus rosa-sinensis), yang dikenal dengan kelopak lebarnya dan warna-warna cerah. Motif ini memiliki karakter yang dinamis dan penuh ekspresi, mencerminkan keanggunan serta keindahan alam tropis. Warna yang kompleks terinspirasi dari suasana perjalanan ketika berada di Bali."
Data 17 Batik Kantil (Mak-mak Mbois),Malang,Mak-mak Mbois,MANUSIA // FLORA (Bunga kantil/Cempaka Putih/White Cempaka),"Hitam/Black, Merah/Red",Tulis,Primisima,Sintetis,Non Geometris,"Batik ini memiliki latar warna hitam dengan 2 corak motif flora (bunga kantil) dan motif manusia. Motif Manusia terinspirasi perempuan Jawa dengan menggunakan baju tradisional. sedangkan motif flora (bunga kantil) terinspirasi dari bunga kantil yang masih kuncup di halaman rumah, menggambarkan harapan akan masa depan yang cerah serta potensi yang masih akan berkembang."
Data 18 Batik Kantil (Bunga Mawar),Malang,Mawar,FLORA (Bunga mawar/Rose Flower) // FAUNA (Kupu-kupu/Butterfly),"Oranye/Orange, Pink",Tulis,Primisima,Sintetis,Non Geometris,"Batik ini memiliki nuansa elegan dengan latar warna orange memberi kesan hangat, ceria, dan penuh semangat, dipadukan dengan dua motif Flora (Bunga Mawar) sebagai simbol universal cinta dan keanggunan, merepresentasikan kelembutan serta kecantikan yang abadi dan Fauna (Kupu-kupu) dalam filosofi Jawa melambangkan perjalanan hidup yang penuh perubahan, dari kepompong hingga menjadi makhluk yang indah, mencerminkan harapan akan perkembangan dan pencapaian yang lebih baik."
Data 19 Batik Kantil (Bunga Mawar),Malang,Mawar,FLORA (Bunga mawar/Rose Flower) ,"Coklat susu/Milk Chocolate, Putih/White",Tulis,Primisima,Alami,Non Geometris,"Batik ini memiliki nuansa alam dengan latar warna coklat, dalam budaya Jawa coklat alam menggambarkan kesuburan dan kemakmuran, sebagaimana warna tanah yang menjadi sumber kehidupan. Dipadukan dengan motif Flora (Bunga Mawar) sebagai simbol universal cinta dan keanggunan, merepresentasikan kelembutan serta kecantikan yang abadi sebagai penggambaran kota Malang sebagai tanah yang makmur, ramah dan penuh cinta."
Data 20 Batik Kantil (Bangau),Malang,Bangau,FAUNA (Burung bangau/Stork) // FLORA (Bunga krisan/Chrysanthemum Flower) ,Biru indigo/Dark Blue,Tulis,Primisima,Alami,Non Geometris,"Motif fauna (bangau) terinspirasi ketika melihat sekumpulan burung bangau terbang ketika perjalanan menuju Yogyakarta, populasi burung bangau yang semakin sedikit menjadi motivasi untuk membuat motif ini. Sedangkan motif bunga krisan dalam budaya Jawa, bunga ini sering dikaitkan dengan keharmonisan dan ketenangan batin, menjadikannya simbol yang sesuai untuk menggambarkan keseimbangan dalam kehidupan."
Data 21 Batik Kantil (Musahara Gauri),Malang,Musahara Gauri,FLORA (Pohon pisang/Banana tree) // FAUNA (Burung Foniks/Phoenix Bird),Hijau daun/Foliage green,Tulis,Primisima,Sintetis,Non Geometris,"Batik ini terinspirasi dari pohon pisang yang banyak tumbuh di daerah Kabupaten Lumajang, Jawa Timur. Kabupaten Lumajang merupakan salah satu sentra penghasil berbagai jenis pisang."
Data 22 Batik Kantil (Klasik Kantil),Malang,Klasik Kantil,FLORA (Bunga kantil/Cempaka Putih/White Cempaka) ,"Ungu/Purple, Hijau/Green",Tulis,Primisima,Sintetis,Non Geometris,"Motif batik ini menggabungkan unsur modern dengan tetap mempertahankan keklasikan bunga kantil. Keanggunan dan filosofi bunga kantil sebagai simbol kesucian dan ketulusan dihadirkan dalam desain, menciptakan harmoni antara tradisi dan inovasi dalam seni batik."
Data 23 Batik Kantil (Sarang Lebah),Malang,Sarang Lebah,FLORA (Bunga Sepatu/Hibiscus) // FAUNA (Sarang Lebah/Beehive) ,Biru indigo/Dark Blue,Tulis,Primisima,Alam,Non Geometris,"Pemilik rumah batik terinspirasi dari batu akik sarang lebah untuk menciptakan motif batik unik. Pola sarang lebah melambangkan kerja keras, kebersamaan, dan ketahanan."
Data 24 Batik Kantil (Metamorfosa Adhiluhung),Malang,Batik Metamorfora Adhiluhung,FLORA (Bunga kantil/Cempaka Putih/White Cempaka) // FAUNA (Kupu-kupu/Butterfly) // CULTURE (Adhiluhung simbol batik eyang patik),Ungu/Purple,Tulis,Primisima,Sintetis,Non Geometris,"Batik metamorfora Adhiluhung terinspirasi dari, kerja sama dengan Eyang Tatik melahirkan karya adiluhung yang mencerminkan keindahan dan filosofi batik. Karya ini kemudian diundang untuk tampil dalam event Hari Batik pada 2 Oktober, merayakan warisan budaya dengan penuh makna"
Data 25 Batik Kantil (Anggrek),Malang,Anggrek,FLORA (Bunga anggrek/Orchid flower),"Merah Bata/Brick Red, ungu/Purple",Tulis,Primisima,Sintetis,Non Geometris,"Terinspirasi saat berjalan-jalan ke kebun bunga di kota Batu, melihat anggrek yang tumbuh subur dan memancarkan keindahan. Namun, keindahannya tidak abadi, mengajarkan bahwa kecantikan bersifat sementara, tetapi maknanya dapat diabadikan dalam sebuah karya seni batik."
Data 26 Batik Kantil (Kamalini Buana),Malang,Kamalini Buana,FLORA (Bunga teratai/Lotus),"Hitam/Black, hijau/green",Tulis,Primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari keanggunan bunga teratai di Balai Kota Malang yang terlihat saat berjalan-jalan bersama keluarga. Dipadukan dengan ragam bunga indah lainnya, desain ini melambangkan harmoni dalam keindahan budaya Nusantara."
Data 27 Batik Kantil (Junjung Derajat),Malang,Junjung Derajat,FLORA (Bunga matahari/Sunflower) // FAUNA (Burung hong/Phoenix Bird) // CULTURE (Parang junjung) ,Ungu/Purple,Tulis,Primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari keagungan burung phoenix yang ditemukan dalam perayaan hari besar masyarakat Tionghoa, dipadukan dengan keindahan bunga yang memikat. Kombinasi ini melambangkan keabadian, keanggunan, dan kebangkitan."
Data 28 Batik Kantil (Cendrawasih),Malang,Cendrawasih,"FLORA (Bunga teratai/Lotus, kantil/Bunga kantil/Cempaka Putih/White Cempaka) // FAUNA (Burung cendrawasih/Cendrawasih Bird/Bird of Paradise)","Coklat klasik/Brown, biru/blue",Tulis,Primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari keanggunan burung cendrawasih yang ditemukan di internet, dipadukan dengan keindahan bunga yang memikat. Perpaduan ini menciptakan desain harmonis yang mencerminkan keindahan alam, keeksotisan, serta kemewahan budaya Nusantara."
Data 29 Batik Kantil (Merak),Malang,Merak,"FLORA (Bunga teratai/Lotus, kantil/Bunga kantil/Cempaka Putih/White Cempaka) // FAUNA (Burung merak/peacock)","Coklat klasik/Brown, biru/blue",Tulis,Primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari keindahan merak yang pembatik temui saat berkunjung ke Kebun Binatang Pasuruan. Pola anggun ekor merak yang mengembang dipadukan dengan unsur tradisional, menciptakan desain elegan yang mencerminkan keindahan dan kemegahan alam."
Data 30 Batik Kantil (Bunga Sepatu dan Isen-isen),Malang,Bunga Sepatu dan Isen-isen,FLORA (Bunga Sepatu/Hibiscus),"Coklat/Brown, pink peach",Tulis,Primisima,Sintetis,Non Geometris,"Terinspirasi saat berjalan-jalan ke kebun bunga di selecta kota Batu, melihat bunga-bunga sepatu yang tumbuh subur dan memancarkan keindahan."
Data 31 Batik Kantil (Mawar),Malang,Mawar,FLORA (Bunga mawar/Rose Flower) // FAUNA (Kupu-kupu/Butterfly),Merah Bata/Brick Red,Tulis,Primisima,Sintetis,Non Geometris,"Batik ini memiliki nuansa elegan dengan latar warna brick red memberi kesan hangat, ceria, dan penuh semangat, dipadukan dengan dua motif Flora (Bunga Mawar) sebagai simbol universal cinta dan keanggunan, merepresentasikan kelembutan serta kecantikan yang abadi dan Fauna (Kupu-kupu) dalam filosofi Jawa melambangkan perjalanan hidup yang penuh perubahan, dari kepompong hingga menjadi makhluk yang indah, mencerminkan harapan akan perkembangan dan pencapaian yang lebih baik."
Data 32 Batik Kantil (Kamalini Buana),Malang,Kamalini Buana,FLORA (Bunga teratai/Lotus),"Hitam/Black, hijau/green",Tulis,Primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari keanggunan bunga teratai di Balai Kota Malang yang terlihat saat berjalan-jalan bersama keluarga. Dipadukan dengan ragam bunga indah lainnya, desain ini melambangkan harmoni dalam keindahan budaya Nusantara."
Data 1 Batik Bengkel (Tameng Pitulungan),Malang,Tameng Pitulungan,CULTURE (Perisai/Tameng/Shield),Lilac,Batik tulis,Primisima,Sintetis,Non-Geometris,"Terinspirasi dari BTS sebagai lambang perjuangan, proses pembuatan ini penuh dengan tantangan, kerja keras, dan tekad yang tak tergoyahkan. Seperti BTS yang mengatasi rintangan untuk mencapai kesuksesan global, karya ini juga lahir dari dedikasi, semangat pantang menyerah, serta keyakinan akan mimpi yang bisa diwujudkan."
Data 2 Batik Bengkel (Puspavardhati Sandhiya),Malang,Puspavardhati Sandhiya,FLORA (Bunga Mawar) // NATURE (senja/dusk),"Oranye/Orange, merah/red",Batik tulis,Primisima,Sintetis,Non-Geometris,"Inspirasi hadir saat pembatik melihat senja-Inspirasi muncul saat pembatik menatap senja, menyaksikan gradasi warna yang indah. Keindahan alam itu tertuang dalam setiap goresan, menciptakan motif yang penuh makna dan kehangatan"
Data 3 Batik Bengkel (Kawung Trembesi),Malang,Kawung Trembesi,FLORA (Pohon trembesi/Rain Tree) // CULTURE (motif kawung),Mulberry,Batik tulis,Primisima,Sintetis,Non-Geometris,"Trembesi sebagai pohon icon kota Malang, dengan mengambil daunnya sebagai inspirasi-Trembesi, ikon hijau Kota Malang, menginspirasi dengan keindahan daunnya. Bentuk dan teksturnya memberi makna mendalam, diabadikan dalam karya batik, seni yang mencerminkan harmoni alam."
Data 4 Batik Bengkel (Catur Padma Kahuripan),Malang,Catur Padma Kahuripan,FLORA (Teratai/Lotus),"Puitih/white, hitam/black",Batik tulis,Primisima,Sintetis,Non-Geometris,"Hidup tidak ada yang hitam dan putih, bagaimana dari kita membawa apa yang kita yakini-Hidup tidak hanya hitam dan putih, tetapi hadir dalam berbagai perspektif. Semua tergantung pada bagaimana kita menjalani dan membawa keyakinan kita, menjadikannya cahaya yang membimbing setiap langkah menuju kebaikan."
Data 5 Batik Bengkel (Ukel Kelana),Malang,Ukel Kelana,CULTURE (Topeng/mask),Navy blue,Batik tulis,Primisima,Sintetis,Non-Geometris,"Studi bersama Kementrian untuk belajar bersama pembatik baru, yang pada akhirnya mendapatkan inspirasi tersebut-Studi bersama Kementerian untuk belajar bersama para pembatik baru, menggali teknik dan makna di balik setiap motif. Pada akhirnya, pengalaman ini melahirkan inspirasi yang memperkaya kreativitas dan melestarikan warisan budaya."
Data 6 Batik Bengkel (Sekar Jagad Puspakartika),Malang,Sekar Jagad Puspakartika,"FLORA (Bunga mawar/Rose, Anggrek/Orchid Flower, Cemara/pine, bougainvillea, kenari putih/white walnut)","Hitam/Black, hijau/green",Batik tulis,Primisima,Sintetis,Non-Geometris,"Terinspirasi dari bunga saat jalan-jalan ke taman Purwodadi-Terinspirasi dari keindahan bunga saat berjalan di Taman Purwodadi, warna dan bentuknya menciptakan kesan mendalam, menghidupkan ide-ide segar yang tercermin dalam karya seni dan kreativitas."
Data 7 Batik Bengkel (Mayuragari),Malang,Mayuragari,FAUNA (Burung merak/Peacock),Navy blue,Batik tulis,Primisima,Sintetis,Non-Geometris,"Melihat keindahan bulu merak, warna biru terinspirasi dari Arema-Melihat keindahan bulu merak yang megah, warna birunya memancarkan pesona dan keanggunan. Keindahan ini menginspirasi, selaras dengan warna kebanggaan Arema yang melambangkan semangat, keberanian, dan tekad pantang menyerah dalam setiap perjuangan"
Data 1 Batik Hamparan Rintik (Daun Waru dan Hujan),Malang,Daun Waru dan Hujan,FLORA (Pohon waru/flame tree),Grape,batik kuas mix shibori,Katun Jepang,Sintetis,Non-Geometris,Waru merupakan simbol kelurahan lowokwaru. Lowok artinya cekungan. Tempat banyak air menggenang. Daun waru dan hujan ini adalah kain yang menggambarkan suasana daun waru yang berguguran ditengah hujan dan ikut menggenang di tanah. Kain ini dibuat bersama teman tuli.
Data 2 Batik Hamparan Rintik (Tasik Madu),Malang,Tasik Madu,FAUNA (Lebah/bee),Violet,batik kuas mix shibori,Katun Jepang,Sintetis,Non-Geometris,Tasik madu adalah salah satu daerah di kecamatan lowokwaru. Tasik artinya aliran air. Kain ini punya penggambaran tentang lebah madu yang madunya mengalir deras bagai air sungai. Kain ini dibuat bersama teman tuli
Data 3 Batik Hamparan Rintik (Teratai Senja),Malang,Teratai Senja,FLORA (Bunga teratai/Lotus),"Violet, Boysenberry",batik kuas mix shibori,Katun Jepang,Sintetis,Non-Geometris,Cerita tentang kelurahan tunjung sekar. Tunjung adalah nama lain bunga lotus atau teratai. Ada bunga teratai yang bergembira ria di tengah senja. Ada ilustrasi cahaya kecil dari matahari yang mulai redup. Kain ini dibuat bersama teman tuli.
Data 4 Batik Hamparan Rintik (Ranting Hanyut),Malang,Ranting Hanyut,FLORA (Pohon Trembesi/rain tree),"Violet, Boysenberry",batik kuas mix shibori,Katun Jepang,Sintetis,Non-Geometris,Cerita tentang ranting dan potongan dahan yang ikut hanyut terbawa aliran air saat hujan. Kain yang dibuat di pertengahan Januari saat hujan dan angin menerpa Kota Malang tiap hari. Kain ini dibuat bersama teman tuli.
Chotifa_35241420060101_Daun Asem Bandeng Lele_2025_FLORA_FAUNA,Lamongan,Daun Asem Bandeng Lele,FLORA (Daun Asem/ Tamarind Leaves/ タマリンドの葉) // FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ) ,"Merah/ Red/ 赤い, Hitam/ Black/ 黒い, Oren/ Orange/ オレンジ",Tulis,Juantiu,Sintestis (Naptol dan Remasol),Geometris,Saat jalan - jalan melihat daun asem
Chotifa_35241420060102_Kepet Bandeng Lele_2025_CULTURE_FAUNA,Lamongan,Kepet Bandeng Lele,"CULTURE (Kepet/ Kepet/ ケぺット) // 
FAUNA (Bandeng Lele)/ Milkfish and Catfish/ ミルクフィッシュとナマズ)","Hitam/Black/ 黒い,
Merah/ Red/ 赤い",Tulis,Juantiu,Sintestis (Naptol),Non Geometris,"Terinspirasi dari kekayaan alam pesisir Lamongan, khususnya ikan bandeng dan lele yang menjadi ikon Kota Lamongan. Kepet merujuk pada bentuk kipas tradisional yang melambangkan kesejukan dan harmoni dalam kehidupan masyarakat."
Chotifa_35241420060103_Daun Sente (Talas)_2025_FLORA,Lamongan,Daun Sente (Talas),FLORA (Daun Sente/ Taro Leaves/ サトイモの葉) ,Biru Navy/ Navy Blue/ ネイビーブルー,Tulis,Juantiu,Sintetis (Remasol),Non Geometris,"Daun Sente terinspirasi dari tanaman talas (sente) yang tumbuh subur di lingkungan Sendang Duwur. Daun talas melambangkan keteduhan, perlindungan, dan kemurahan hati alam terhadap kehidupan masyarakat."
Chotifa_35241420060104_Latohan (Rumput Laut)_2025_FLORA,Lamongan,Latohan (Rumput Laut),FLORA (Rumput Laut/ Seaweed/ 海藻),"Hitam/ Black/ 黒い,
Hijau Tletong/ Olive Drab/ オリーブドラブ",Tulis,Juantiu,Sintetis (Remasol),Non Geometris,Terinspirasi dari rumput laut yang mampu bertahan di ombak dan arus laut menjadi simbol ketabahan dan kemampuan beradaptasi dalam kehidupan. Motif ini menjadi pengingat akan pentingnya menjaga kelestarian sumber daya laut sebagai warisan budaya Lamongan.
Chotifa_35241420060105_Kepetan (Kipas)_2025_CULTURE,Lamongan,Kepetan (Kipas),BUDAYA (Kepetan/Kepetan/ 手持ち扇),"Putih/ White/ 白い,
Merah/ Red/ 赤い,
Hitam/ Black/ 黒い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,"Motif kepetan atau kipas melambangkan kesejukan dan perlindungan. Motif ini mengajarkan tentang pentingnya menjaga sikap dan rendah hati dan menyebarkan kebaikan, seperti kesejukan yang dibawa oleh hembusan angin."
Chotifa_35241420060106_Petetan_2025_FLORA,Lamongan,Petetan,FLORA (Petetan/ Seed Pattern/ 小柄),"Putih/ White/ 白い,
Merah/ Red/ 赤い,
Hitam/ Black/ 黒い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,"Petetan merujuk pada pola berulang yang menyerupai bentuk-bentuk kecil yang teratur, seperti biji-bijian atau bunga-bunga kecil, yang melambangkan kelimpahan dan kesinambungan."
Chotifa_35241420060107_Bandeng Lele Daun Imbo_2025_FLORA,Lamongan,Bandeng Lele Daun Imbo,FLORA (Daun Imbo/Neem Leaves/ ニームの葉),"Hijau Army/ Army Green/ グリーンアーミー,
Abu-abu/ Grey/ グレー",Tulis,Juantiu,Sintetis (Naptol dan Remasol),Non Geometris,"Kombinasi motif bandeng, lele, dan daun imbo ini melambangkan sinergi antara unsur air dan darat yang menopang kehidupan masyarakat Sendang Duwur. Bandeng dan lele mewakili sumber pangan dari perairan, sementara daun imbo melambangkan kesuburan dan kehijauan alam."
